"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay","ColID"
"107",7,"KeystoneAssortativity",-0.0263548747303261,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"108",8,"KeystoneAssPercentile",16.5975,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"109",0,"Transitivity",0.917182422222682,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"110",1,"Average Clustering",0.919905245684809,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"111",2,"GlobalEfficiency",81.7216611150022,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"112",3,"Sum",107944,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"113",4,"Modularity",0.0329122396466034,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"114",5,"Assortativity",-0.0170384554606156,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"115",6,"DegreeCentralization",0.000383935792458817,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"116",7,"KeystoneAssortativity",-0.00379428498318764,"1","2",6,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 13","Head_Head","RooibosTea","Night","RooibosTea TRUE"
