"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay","ColID"
"299",4,"Modularity",0.0227101266352244,"2","3",12,43,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 43","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"300",5,"Assortativity",-0.0323493755127118,"2","3",12,43,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 43","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"301",6,"DegreeCentralization",0.000198413721683185,"2","3",12,43,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 43","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"302",0,"Transitivity",0.943374769616878,"2","3",13,44,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 44","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"303",1,"Average Clustering",0.944801803343405,"2","3",13,44,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 44","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"304",2,"GlobalEfficiency",7.94137864507068,"2","3",13,44,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 44","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"305",3,"Sum",14276,"2","3",13,44,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 44","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"306",4,"Modularity",0.0161222898592618,"2","3",13,44,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 44","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"307",5,"Assortativity",-0.0193667723170668,"2","3",13,44,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 44","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"308",6,"DegreeCentralization",0.000222425301683279,"2","3",13,44,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 44","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"309",0,"Transitivity",0.94699626329405,"2","3",14,45,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 45","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"310",1,"Average Clustering",0.948125389745222,"2","3",14,45,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 45","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"311",2,"GlobalEfficiency",8.33045241508935,"2","3",14,45,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 45","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"312",3,"Sum",15356,"2","3",14,45,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 45","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"313",4,"Modularity",-0.00620305435210297,"2","3",14,45,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 45","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"314",5,"Assortativity",-0.0525455086604628,"2","3",14,45,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 45","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"315",6,"DegreeCentralization",0.000169352897263546,"2","3",14,45,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 45","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"316",0,"Transitivity",0.914689742507387,"2","3",15,46,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 46","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"317",1,"Average Clustering",0.915649050085003,"2","3",15,46,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 46","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"318",2,"GlobalEfficiency",7.56014577291996,"2","3",15,46,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 46","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"319",3,"Sum",13492,"2","3",15,46,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 46","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"320",4,"Modularity",0.0280166353919341,"2","3",15,46,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 46","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"321",5,"Assortativity",-0.00959351530303445,"2","3",15,46,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 46","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"322",6,"DegreeCentralization",0.000200899590582193,"2","3",15,46,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 46","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"323",0,"Transitivity",0.914494575989429,"2","3",16,47,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 47","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"324",1,"Average Clustering",0.915890133918651,"2","3",16,47,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 47","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"325",2,"GlobalEfficiency",7.5178108774916,"2","3",16,47,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 47","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"326",3,"Sum",12798,"2","3",16,47,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 47","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"327",4,"Modularity",0.00922172922149186,"2","3",16,47,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 47","Head_Head","RooibosTea","Day","RooibosTea TRUE"
