"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"110",0,"Transitivity",0.965055789415636,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"111",1,"Average Clustering",0.965709057475765,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"112",2,"GlobalEfficiency",71.5588362141575,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"113",3,"Sum",108686,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"114",4,"Modularity",0.000882102068771623,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"115",5,"Assortativity",-0.0174596989824878,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"116",6,"DegreeCentralization",0.000264850174255657,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"117",0,"Transitivity",0.928604109888798,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"118",1,"Average Clustering",0.929393136543956,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"119",2,"GlobalEfficiency",72.9573624426299,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"120",3,"Sum",102512,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
